Bosnia and Herzegovina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
181,1981,0.27903225806451604,0.36,0.4,0.42,0.49,0.4
182,1982,0.879032258064516,0.38,0.43,0.45,0.51,0.43
183,1983,0.669032258064516,0.41,0.46,0.48,0.54,0.47
184,1984,0.08903225806451603,0.45,0.49,0.51,0.58,0.5
185,1985,0.14903225806451606,0.5,0.52,0.55,0.6,0.53
186,1986,0.42903225806451606,0.55,0.55,0.58,0.63,0.56
187,1987,0.4590322580645161,0.6,0.59,0.61,0.66,0.6
188,1988,0.799032258064516,0.65,0.62,0.65,0.69,0.63
189,1989,0.8190322580645161,0.69,0.65,0.68,0.73,0.66
190,1990,1.319032258064516,0.72,0.69,0.72,0.76,0.7
191,1991,0.08903225806451603,0.75,0.74,0.77,0.81,0.75
192,1992,1.2390322580645161,0.79,0.78,0.81,0.85,0.79
193,1993,0.7590322580645161,0.85,0.83,0.86,0.9,0.84
194,1994,1.889032258064516,0.9,0.88,0.91,0.95,0.89
195,1995,0.609032258064516,0.96,0.94,0.96,1.0,0.94
196,1996,0.15903225806451604,1.01,0.99,1.01,1.05,0.99
197,1997,0.619032258064516,1.05,1.04,1.06,1.1,1.04
198,1998,0.9790322580645161,1.08,1.09,1.11,1.15,1.09
199,1999,1.2590322580645161,1.11,1.14,1.17,1.2,1.15
200,2000,2.069032258064516,1.15,1.2,1.22,1.26,1.2
201,2001,1.2390322580645161,1.2,1.26,1.28,1.32,1.26
202,2002,1.819032258064516,1.26,1.32,1.34,1.38,1.32
203,2003,1.379032258064516,1.32,1.37,1.39,1.43,1.38
204,2004,0.9790322580645161,1.38,1.43,1.45,1.48,1.43
205,2005,0.23903225806451606,1.43,1.48,1.5,1.53,1.48
206,2006,1.0090322580645161,1.47,1.53,1.54,1.57,1.53
207,2007,1.939032258064516,1.5,1.57,1.58,1.62,1.58
208,2008,1.969032258064516,1.54,1.62,1.63,1.66,1.62
209,2009,1.729032258064516,1.59,1.66,1.67,1.7,1.67
210,2010,1.119032258064516,1.65,1.71,1.71,1.73,1.71
211,2011,1.619032258064516,1.71,1.75,1.75,1.77,1.75
212,2012,1.939032258064516,1.77,1.8,1.79,1.8,1.8
213,2013,1.799032258064516,1.83,1.84,1.83,1.83,1.84
214,2014,2.289032258064516,1.89,1.88,1.88,1.87,1.88
215,2015,1.959032258064516,1.95,1.93,1.92,1.9,1.92
216,2016,1.719032258064516,2.01,1.97,1.96,1.93,1.96
217,2017,1.729032258064516,2.07,2.0,1.99,1.96,2.0
218,2018,2.409032258064516,2.13,2.04,2.03,2.0,2.03
219,2019,2.399032258064516,2.18,2.07,2.07,2.03,2.07
