The Gambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
265,2065,,,2.29,2.76,3.04,3.39
266,2066,,,2.29,2.77,3.08,3.44
267,2067,,,2.29,2.79,3.11,3.49
268,2068,,,2.29,2.8,3.14,3.53
269,2069,,,2.29,2.82,3.18,3.58
270,2070,,,2.3,2.83,3.21,3.63
271,2071,,,2.3,2.85,3.24,3.68
272,2072,,,2.3,2.86,3.28,3.73
273,2073,,,2.3,2.87,3.32,3.78
274,2074,,,2.3,2.89,3.35,3.84
275,2075,,,2.3,2.91,3.39,3.89
276,2076,,,2.3,2.92,3.43,3.94
277,2077,,,2.3,2.94,3.47,3.99
278,2078,,,2.3,2.96,3.51,4.04
279,2079,,,2.3,2.98,3.55,4.09
280,2080,,,2.3,2.99,3.59,4.14
281,2081,,,2.3,3.01,3.63,4.18
282,2082,,,2.3,3.02,3.66,4.23
283,2083,,,2.3,3.04,3.7,4.28
284,2084,,,2.3,3.05,3.74,4.33
285,2085,,,2.29,3.06,3.78,4.38
286,2086,,,2.29,3.07,3.81,4.43
287,2087,,,2.28,3.08,3.85,4.47
288,2088,,,2.27,3.1,3.89,4.52
289,2089,,,2.26,3.1,3.93,4.57
290,2090,,,2.25,3.11,3.96,4.62
291,2091,,,2.24,3.12,4.0,4.67
292,2092,,,2.24,3.13,4.04,4.72
293,2093,,,2.23,3.14,4.07,4.76
294,2094,,,2.22,3.15,4.11,4.81
295,2095,,,2.21,3.16,4.15,4.86
296,2096,,,2.2,3.17,4.18,4.91
297,2097,,,2.19,3.17,4.22,4.95
298,2098,,,2.18,3.18,4.25,5.0
299,2099,,,2.17,3.19,4.29,5.04
300,2100,,,2.17,3.2,4.33,5.09
