Antarctica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
281,2081,,,2.43,3.34,4.3,5.19
282,2082,,,2.42,3.37,4.36,5.27
283,2083,,,2.42,3.39,4.43,5.35
284,2084,,,2.41,3.41,4.49,5.43
285,2085,,,2.4,3.44,4.55,5.51
286,2086,,,2.39,3.46,4.62,5.6
287,2087,,,2.38,3.48,4.68,5.68
288,2088,,,2.38,3.5,4.74,5.76
289,2089,,,2.38,3.52,4.81,5.85
290,2090,,,2.39,3.54,4.86,5.93
291,2091,,,2.39,3.56,4.92,6.02
292,2092,,,2.4,3.57,4.97,6.11
293,2093,,,2.4,3.58,5.02,6.2
294,2094,,,2.41,3.59,5.07,6.29
295,2095,,,2.42,3.59,5.12,6.38
296,2096,,,2.43,3.6,5.17,6.47
297,2097,,,2.44,3.61,5.22,6.55
298,2098,,,2.45,3.62,5.27,6.64
299,2099,,,2.46,3.63,5.31,6.73
300,2100,,,2.47,3.63,5.36,6.82
